"","Gracz","Pozycja","Urodziny","Wiek","Pierwsza narodowość","Druga narodowość","Wzrost","Lepsza noga","Data dołączenia","Poprzedni klub","Data wygaśnięcia kontraktu","Wartość rynkowa","Liga"
"301","Andrzej Trubeha","Centre-Forward","Nov 22, 1997","25","Poland",NA,186,"both","Jul 1, 2021","Legionovia Legionowo","Jun 30, 2023","€100k","Ekstraklasa"
"302","Mikolaj Wasilewski","Centre-Forward","Mar 19, 2001","21","Poland",NA,170,"right","Jul 15, 2022","Jagiellonia Bialystok II","-","€25k","Ekstraklasa"
"303","Michal Samborski","Centre-Forward","Jan 20, 2004","18","Poland",NA,NA," ","Jul 2, 2021","Pogon Szczecin U19","Jun 30, 2024","€25k","Ekstraklasa"
"304","Maciej Twarowski","Centre-Forward","Mar 13, 2001","21","Poland",NA,188,"both","Aug 18, 2018","Jagiellonia Bialystok U19","Jun 30, 2024","€25k","Ekstraklasa"
"305","Kacper Bieszczad","Goalkeeper","Sep 11, 2002","20","Poland",NA,192," ","Mar 7, 2019","Zaglebie Lubin U19","Jun 30, 2024","€800k","Ekstraklasa"
"306","Jasmin Buric","Goalkeeper","Feb 18, 1987","35","Bosnia-Herzegovina","Poland",193,"right","Jan 3, 2022","Without Club","Jun 30, 2023","€50k","Ekstraklasa"
"307","Alexander Steffen","Goalkeeper","Apr 6, 2004","18","Poland",NA,188," ","Nov 22, 2021","Zaglebie Lubin II","-","€25k","Ekstraklasa"
"308","Michal Matys","Goalkeeper","May 6, 2006","16","Poland",NA,NA," ","Jul 12, 2022","Zaglebie Lubin II","-","€25k","Ekstraklasa"
"309","Szymon Weirauch","Goalkeeper","Mar 5, 2004","18","Poland",NA,192,"right","Jul 22, 2021","Zaglebie Lubin II","Jun 30, 2025","€25k","Ekstraklasa"
"310","Aleks Lawniczak","Centre-Back","May 5, 1999","23","Poland",NA,189," ","Jan 6, 2022","Warta Poznan","Jun 30, 2025","€600k","Ekstraklasa"
"311","Jaroslaw Jach","Centre-Back","Feb 17, 1994","28","Poland",NA,192,"left","Jul 1, 2022","Crystal Palace","Jun 30, 2025","€400k","Ekstraklasa"
"312","Bartosz Kopacz","Centre-Back","May 21, 1992","30","Poland",NA,188,"right","Jan 11, 2022","Lechia Gdansk","Jun 30, 2025","€300k","Ekstraklasa"
"313","Kamil Sobczak","Centre-Back","Jan 1, 2003","20","Poland",NA,180," ","Feb 2, 2022","Zaglebie Lubin II","Jun 30, 2023","€50k","Ekstraklasa"
"314","Damian Oko","Centre-Back","Jan 22, 1997","25","Poland",NA,190," ","Apr 4, 2017","Zaglebie Lubin II","Jun 30, 2023","€50k","Ekstraklasa"
"315","Kacper Lepczynski","Centre-Back","Jul 18, 2001","21","Poland",NA,191," ","Jul 1, 2021","Zaglebie Lubin II","Jun 30, 2025","€25k","Ekstraklasa"
"316","Guram Giorbelidze","Left-Back","Feb 25, 1996","26","Georgia",NA,174,"left","Jul 17, 2022","Wolfsberger AC","Jun 30, 2024","€400k","Ekstraklasa"
"317","Mateusz Bartolewski","Left-Back","Jan 12, 1998","24","Poland",NA,187,"left","Jul 31, 2020","Ruch Chorzow","Jun 30, 2023","€300k","Ekstraklasa"
"318","Mateusz Grzybek","Right-Back","Mar 30, 1996","26","Poland",NA,178,"right","Jan 9, 2023","Radomiak Radom","Jun 30, 2026","€550k","Ekstraklasa"
"319","Bartlomiej Kludka","Right-Back","May 14, 2002","20","Poland",NA,186," ","Jul 1, 2021","Zaglebie Lubin II","Jun 30, 2024","€300k","Ekstraklasa"
"320","Arkadiusz Wozniak","Right-Back","Jun 1, 1990","32","Poland",NA,184,"right","Jul 1, 2022","GKS Katowice","Jun 30, 2024","€100k","Ekstraklasa"
"321","Jakub Kolan","Right-Back","Aug 3, 2004","18","Poland",NA,177," ","Oct 18, 2022","Zaglebie Lubin II","-","€25k","Ekstraklasa"
"322","Lukasz Lakomy","Defensive Midfield","Jan 18, 2001","21","Poland",NA,181,"right","Jan 12, 2021","Legia Warsaw II","Jun 30, 2024","€1.00m","Ekstraklasa"
"323","Tomasz Makowski","Defensive Midfield","Jul 19, 1999","23","Poland",NA,183,"right","Jul 1, 2022","Lechia Gdansk","Jun 30, 2024","€650k","Ekstraklasa"
