"","Gracz","Pozycja","Urodziny","Wiek","Pierwsza narodowość","Druga narodowość","Wzrost","Lepsza noga","Data dołączenia","Poprzedni klub","Data wygaśnięcia kontraktu","Wartość rynkowa","Liga"
"337","Tornike Gaprindashvili","Right Winger","Jul 20, 1997","25","Georgia",NA,171,"left","Jul 17, 2022","Dinamo Batumi","Jun 30, 2025","€300k","Ekstraklasa"
"338","Tomasz Pienko","Centre-Forward","Jan 5, 2004","19","Poland",NA,185,"right","Jul 1, 2021","Zaglebie Lubin U19","Jun 30, 2024","€500k","Ekstraklasa"
"339","Dawid Kurminowski","Centre-Forward","Feb 24, 1999","23","Poland",NA,182,"right","Sep 1, 2022","Aarhus GF","Jun 30, 2023","€400k","Ekstraklasa"
"340","Rafal Adamski","Centre-Forward","Nov 21, 2001","21","Poland",NA,190," ","May 5, 2022","Zaglebie Lubin II","Jun 30, 2025","€300k","Ekstraklasa"
"341","Martin Dolezal","Centre-Forward","May 3, 1990","32","Czech Republic",NA,189,"right","Jan 10, 2022","FK Jablonec","Jun 30, 2024","€250k","Ekstraklasa"
"342","Szymon Kobusinski","Centre-Forward","May 4, 1998","24","Poland",NA,183,"right","Jul 1, 2022","Puszcza Niepolomice","Jun 30, 2024","€150k","Ekstraklasa"
"343","Cheikhou Dieng","Centre-Forward","Nov 23, 1993","29","Senegal",NA,180,"right","Feb 28, 2022","Wolfsberger AC","Jun 30, 2024","€150k","Ekstraklasa"
"344","Oliwier Slawinski","Centre-Forward","Apr 15, 2005","17","Poland",NA,186,"right","Feb 4, 2021","Zaglebie Lubin II","Dec 31, 2023","€150k","Ekstraklasa"
"345","Daniel Bielica","Goalkeeper","Apr 30, 1999","23","Poland",NA,191," ","Mar 22, 2018","Gornik Zabrze II","Jun 30, 2023","€500k","Ekstraklasa"
"346","Kevin Broll","Goalkeeper","Aug 23, 1995","27","Germany","Poland",185,"right","Jul 4, 2022","SG Dynamo Dresden","Jun 30, 2023","€400k","Ekstraklasa"
"347","Pawel Sokol","Goalkeeper","Mar 2, 2000","22","Poland",NA,193," ","Jul 1, 2021","Chojniczanka Chojnice","Jun 30, 2023","€50k","Ekstraklasa"
"348","Jakub Grzesiak","Goalkeeper","Feb 22, 2003","19","Poland",NA,194,"right","Feb 20, 2021","Gornik Zabrze II","Jun 30, 2023","-","Ekstraklasa"
"349","Aleksander Paluszek","Centre-Back","Apr 9, 2001","21","Poland",NA,191,"right","Jul 1, 2019","Slask Wroclaw II","Jun 30, 2024","€700k","Ekstraklasa"
"350","Richard Jensen","Centre-Back","Mar 17, 1996","26","Finland",NA,185,"left","Jul 20, 2022","Roda JC Kerkrade","Jun 30, 2023","€600k","Ekstraklasa"
"351","Kryspin Szczesniak","Centre-Back","Jan 8, 2001","22","Poland",NA,186,"both","Aug 30, 2022","Pogon Szczecin","Jun 30, 2023","€500k","Ekstraklasa"
"352","Emil Bergström","Centre-Back","May 19, 1993","29","Sweden",NA,188,"right","Sep 27, 2022","Without Club","Jun 30, 2023","€500k","Ekstraklasa"
"353","Rafal Janicki","Centre-Back","Jul 5, 1992","30","Poland",NA,188,"right","Jul 16, 2021","Podbeskidzie Bielsko-Biala","Jun 30, 2024","€300k","Ekstraklasa"
"354","Jakub Szymanski","Centre-Back","Jul 5, 2002","20","Poland",NA,189,"right","Jul 13, 2021","Gornik Zabrze II","Jun 30, 2023","€300k","Ekstraklasa"
"355","Jean Jules","Defensive Midfield","Apr 23, 1998","24","Cameroon",NA,177,"right","Jul 1, 2022","Albacete Balompié","Jun 30, 2024","€500k","Ekstraklasa"
"356","Blaz Vrhovec","Defensive Midfield","Feb 20, 1992","30","Slovenia",NA,180,"right","Sep 2, 2022","Anorthosis Famagusta","Jun 30, 2023","€400k","Ekstraklasa"
"357","Robin Kamber","Defensive Midfield","Feb 15, 1996","26","Switzerland",NA,187,"right","Aug 16, 2022","FC Stade-Lausanne-Ouchy","Jun 30, 2024","€250k","Ekstraklasa"
"358","Jonatan Kotzke","Defensive Midfield","Mar 18, 1990","32","Germany",NA,184,"right","Jul 8, 2022","FC Ingolstadt 04","Jun 30, 2023","€150k","Ekstraklasa"
"359","Adrian Dziedzic","Central Midfield","Mar 22, 2003","19","Poland",NA,185," ","Jul 17, 2021","Gornik Zabrze II","Jun 30, 2023","€50k","Ekstraklasa"
"360","Norbert Wojtuszek","Right Midfield","Oct 5, 2001","21","Poland",NA,184," ","Sep 3, 2020","Pogon Siedlce ","Jun 30, 2023","€400k","Ekstraklasa"
"361","Pawel Olkowski","Right Midfield","Feb 13, 1990","32","Poland",NA,184,"right","Jul 1, 2022","Gaziantep FK","Jun 30, 2024","€200k","Ekstraklasa"
"362","Mateusz Ziolkowski","Right Midfield","Aug 29, 2003","19","Poland",NA,NA,"right","Apr 10, 2022","Gornik Zabrze U19","-","€100k","Ekstraklasa"
"363","Erik Janza","Left Midfield","Jun 21, 1993","29","Slovenia",NA,175,"left","Jul 1, 2019","NK Osijek","Jun 30, 2024","€1.00m","Ekstraklasa"
"364","Robert Dadok","Attacking Midfield","Dec 24, 1996","26","Poland",NA,184,"right","Jul 1, 2021","Stal Mielec","Jun 30, 2023","€650k","Ekstraklasa"
"365","Kanji Okunuki","Attacking Midfield","Aug 11, 1999","23","Japan",NA,171,"right","Aug 31, 2022","Omiya Ardija","Jun 30, 2023","€500k","Ekstraklasa"
"366","Dani Pacheco","Attacking Midfield","Jan 5, 1991","32","Spain",NA,168,"both","Mar 10, 2022","Aris Limassol","Jun 30, 2024","€350k","Ekstraklasa"
"367","Arsen Grosu","Attacking Midfield","Apr 13, 2001","21","Ukraine",NA,175,"right","Jul 17, 2021","Gornik Zabrze II","Jun 30, 2023","€25k","Ekstraklasa"
"368","Szymon Wlodarczyk","Centre-Forward","Jan 5, 2003","20","Poland",NA,191,"right","Jul 1, 2022","Legia Warszawa","Jun 30, 2025","€800k","Ekstraklasa"
"369","Piotr Krawczyk","Centre-Forward","Dec 29, 1994","28","Poland",NA,187,"left","Jul 1, 2019","Legionovia Legionowo","Jun 30, 2023","€350k","Ekstraklasa"
"370","Amadej Marosa","Centre-Forward","Feb 7, 1994","28","Slovenia",NA,177,"right","Aug 29, 2022","AEL Limassol","Jun 30, 2024","€350k","Ekstraklasa"
"371","Lukas Podolski","Centre-Forward","Jun 4, 1985","37","Germany","Poland",182,"left","Jul 6, 2021","Antalyaspor","Jun 30, 2023","€300k","Ekstraklasa"
"372","Mateusz Cholewiak","Centre-Forward","Feb 5, 1990","32","Poland",NA,184,"left","Jul 1, 2021","Legia Warszawa","Jun 30, 2023","€150k","Ekstraklasa"
"373","Krzysztof Kolanko","Centre-Forward","Aug 3, 2006","16","Poland",NA,NA,"right","Jul 26, 2022","Gornik Zabrze II","Jun 30, 2024","€50k","Ekstraklasa"
"374","Jan Ciucka","Centre-Forward","Jun 19, 2003","19","Poland",NA,181,"both","Jan 14, 2022","Rekord Bielsko-Biala","Jun 30, 2024","€25k","Ekstraklasa"
"375","Rafal Leszczynski","Goalkeeper","Apr 26, 1992","30","Poland",NA,187,"right","Jul 1, 2022","Chrobry Glogow","Jun 30, 2024","€400k","Ekstraklasa"
"376","Michal Szromnik","Goalkeeper","Mar 4, 1993","29","Poland",NA,190,"left","Aug 1, 2020","Chrobry Glogow","Jun 30, 2024","€300k","Ekstraklasa"
"377","Maksymilian Boruc","Goalkeeper","Nov 15, 2002","20","Poland","Sweden",195,"right","Jul 1, 2021","West Bromwich Albion U18","Jun 30, 2025","€50k","Ekstraklasa"
"378","Jozef Burta","Goalkeeper","Sep 20, 1999","23","Poland",NA,195," ","Jul 2, 2021","Piast Zmigrod","Jun 30, 2023","€25k","Ekstraklasa"
"379","Oskar Mielcarz","Goalkeeper","Apr 14, 2004","18","Poland",NA,198," ","Jul 13, 2022","Slask Wroclaw II","Jun 30, 2024","€25k","Ekstraklasa"
"380","Konrad Poprawa","Centre-Back","Jun 4, 1998","24","Poland",NA,185,"right","Jul 12, 2017","Slask Wroclaw II","Jun 30, 2025","€650k","Ekstraklasa"
"381","Daníel Leó Grétarsson","Centre-Back","Oct 2, 1995","27","Iceland",NA,185,"left","Jan 27, 2022","Blackpool FC","Jun 30, 2025","€550k","Ekstraklasa"
"382","Diogo Verdasca","Centre-Back","Oct 26, 1996","26","Portugal",NA,185,"right","Jul 1, 2021","Beitar Jerusalem","Jun 30, 2024","€250k","Ekstraklasa"
"383","Kacper Radkowski","Centre-Back","Mar 27, 2001","21","Poland",NA,194,"right","Jul 1, 2021","Zaglebie Sosnowiec","Jun 30, 2024","€50k","Ekstraklasa"
"384","Yegor Matsenko","Centre-Back","Jan 23, 2002","20","Ukraine",NA,188,"right","Jul 12, 2022","Slask Wroclaw II","Dec 31, 2024","€25k","Ekstraklasa"
"385","Mateusz Stawny","Centre-Back","Oct 23, 2003","19","Poland",NA,184," ","Oct 18, 2022","Slask Wroclaw II","Jun 30, 2024","€25k","Ekstraklasa"
"386","Olivier Wypart","Centre-Back","Jan 16, 2001","21","Poland",NA,182,"left","Dec 17, 2020","Slask Wroclaw II","Jun 30, 2024","€25k","Ekstraklasa"
"387","Matías Nahuel","Defensive Midfield","Nov 22, 1996","26","Spain","Argentina",172,"right","Jul 10, 2022","CD Tenerife","Jun 30, 2024","€600k","Ekstraklasa"
"388","Michal Rzuchowski","Defensive Midfield","Dec 27, 1993","29","Poland",NA,176,"right","Jul 1, 2022","Chrobry Glogow","Jun 30, 2024","€150k","Ekstraklasa"
"389","Javier Hyjek","Defensive Midfield","Jan 12, 2001","21","Poland","Spain",178,"right","Jul 1, 2021","Piast Gliwice","Jun 30, 2024","€100k","Ekstraklasa"
"390","Adrian Bukowski","Defensive Midfield","Mar 18, 2003","19","Poland",NA,188," ","Jan 1, 2021","Zaglebie Lubin II","Jun 30, 2023","€75k","Ekstraklasa"
"391","Szymon Michalski","Defensive Midfield","Mar 8, 2004","18","Poland",NA,192,"right","Feb 2, 2022","Slask Wroclaw II","Jun 30, 2024","€50k","Ekstraklasa"
"392","Filip Gryglak","Defensive Midfield","Sep 2, 2004","18","Poland",NA,180,"right","Dec 17, 2021","Slask Wroclaw II","-","€25k","Ekstraklasa"
"393","Patrick Olsen","Central Midfield","Apr 23, 1994","28","Denmark",NA,178,"right","Feb 15, 2022","Aarhus GF","Jun 30, 2025","€900k","Ekstraklasa"
"394","Petr Schwarz","Central Midfield","Nov 12, 1991","31","Czech Republic",NA,174,"right","Jul 1, 2021","Rakow Czestochowa","Jun 30, 2023","€550k","Ekstraklasa"
"395","Lukasz Bejger","Right Midfield","Jan 11, 2002","20","Poland",NA,190,"right","Jan 23, 2021","Manchester United U23","Jun 30, 2025","€500k","Ekstraklasa"
"396","Patryk Janasik","Right Midfield","Aug 25, 1997","25","Poland",NA,178,"right","Aug 1, 2020","Odra Opole","Jun 30, 2024","€400k","Ekstraklasa"
"397","Martin Konczkowski","Right Midfield","Sep 14, 1993","29","Poland",NA,181,"right","Jul 1, 2022","Piast Gliwice","Jun 30, 2024","€300k","Ekstraklasa"
"398","Víctor García","Left Midfield","May 31, 1994","28","Spain",NA,180,"left","Jul 1, 2021","CD Castellón","Jun 30, 2024","€550k","Ekstraklasa"
"399","John Yeboah","Attacking Midfield","Jun 23, 2000","22","Germany","Ghana",170,"left","Jul 1, 2022","Willem II Tilburg","Jun 30, 2025","€600k","Ekstraklasa"
"400","Dennis Jastrzembski","Attacking Midfield","Feb 20, 2000","22","Germany","Poland",180,"left","Jan 25, 2022","Hertha BSC","Jun 30, 2025","€400k","Ekstraklasa"
"401","Adrian Lyszczarz","Attacking Midfield","Aug 22, 1999","23","Poland",NA,178,"right","Feb 8, 2017","Slask Wroclaw II","Jun 30, 2023","€300k","Ekstraklasa"
"402","Karol Borys","Attacking Midfield","Sep 28, 2006","16","Poland",NA,167,"left","May 20, 2022","Slask Wroclaw II","Jun 30, 2023","€250k","Ekstraklasa"
"403","Piotr Samiec-Talar","Attacking Midfield","Nov 2, 2001","21","Poland",NA,181,"left","Jul 18, 2018","Slask Wroclaw U19","Jun 30, 2023","€250k","Ekstraklasa"
"404","Marcel Zylla","Attacking Midfield","Jan 14, 2000","22","Poland","Germany",178,"right","Sep 8, 2020","FC Bayern Munich II","Jun 30, 2024","€100k","Ekstraklasa"
"405","Przemyslaw Bargiel","Attacking Midfield","Mar 26, 2000","22","Poland",NA,179,"right","Sep 2, 2019","Milan Primavera","Jun 30, 2024","€50k","Ekstraklasa"
"406","Erik Expósito","Centre-Forward","Jun 23, 1996","26","Spain",NA,190,"left","Jul 1, 2019","Las Palmas Atlético","Jun 30, 2024","€1.00m","Ekstraklasa"
"407","Caye Quintana","Centre-Forward","Dec 20, 1993","29","Spain",NA,180,"right","Jul 10, 2021","Cádiz CF","Jun 30, 2024","€150k","Ekstraklasa"
"408","Jakub Lutostanski","Centre-Forward","Sep 17, 2004","18","Poland",NA,NA," ","Jul 1, 2022","Jagiellonia Bialystok","Jun 30, 2025","€150k","Ekstraklasa"
"409","Sebastian Bergier","Centre-Forward","Dec 20, 1999","23","Poland",NA,185,"right","Nov 23, 2017","Slask Wroclaw II","Jun 30, 2023","€100k","Ekstraklasa"
"410","Adrian Lis","Goalkeeper","May 28, 1992","30","Poland",NA,192,"right","Jul 1, 2017","Polonia Sroda Wielkopolska","Jun 30, 2023","€450k","Ekstraklasa"
"411","Jedrzej Grobelny","Goalkeeper","Jun 28, 2001","21","Poland",NA,190," ","Jul 1, 2021","Pogon Szczecin","Jun 30, 2024","€300k","Ekstraklasa"
"412","Patryk Prange","Goalkeeper","Jul 5, 2002","20","Poland",NA,187," ","Jul 19, 2021","Warta Poznan U19","Jun 30, 2024","€25k","Ekstraklasa"
"413","Mateusz Kustosz","Goalkeeper","Jan 13, 2003","19","Poland",NA,NA," ","Oct 4, 2019","Warta Poznan U19","Jun 30, 2023","€25k","Ekstraklasa"
"414","Dimitrios Stavropoulos","Centre-Back","May 1, 1997","25","Greece",NA,191,"right","Jul 5, 2022","Reggina 1914","Jun 30, 2024","€800k","Ekstraklasa"
"415","Robert Ivanov","Centre-Back","Sep 19, 1994","28","Finland",NA,197,"right","Sep 1, 2020","FC Honka","Jun 30, 2023","€650k","Ekstraklasa"
"416","Dawid Szymonowicz","Centre-Back","Jul 7, 1995","27","Poland",NA,185,"right","Oct 20, 2021","Without Club","Jun 30, 2024","€600k","Ekstraklasa"
"417","Kamil Koscielny","Centre-Back","Aug 4, 1991","31","Poland",NA,185,"right","Jul 1, 2022","Puszcza Niepolomice","Jun 30, 2024","€200k","Ekstraklasa"
"418","Wiktor Plesnierowicz","Centre-Back","Mar 29, 2001","21","Poland",NA,186," ","Jul 1, 2021","Miedz Legnica","Jun 30, 2024","€100k","Ekstraklasa"
"419","Bartosz Kieliba","Centre-Back","Aug 1, 1990","32","Poland",NA,188,"right","Jan 1, 2016","Jarota Jarocin","Jun 30, 2023","€50k","Ekstraklasa"
"420","Maciej Zurawski","Defensive Midfield","Dec 22, 2000","22","Poland",NA,184,"right","Jul 20, 2022","Pogon Szczecin","Jun 30, 2024","€550k","Ekstraklasa"
"421","Mateusz Kupczak","Defensive Midfield","Feb 20, 1992","30","Poland",NA,187,"right","Jul 17, 2019","Bruk-Bet Termalica Nieciecza","Jun 30, 2024","€350k","Ekstraklasa"
"422","Michal Kopczynski","Defensive Midfield","Jun 15, 1992","30","Poland",NA,180,"both","Aug 20, 2020","Arka Gdynia","Jun 30, 2024","€300k","Ekstraklasa"
"423","Maksymilian Pogonowski","Defensive Midfield","Jan 30, 2004","18","Poland",NA,NA," ","Jun 30, 2022","Polonia Sroda Wielkopolska","-","€25k","Ekstraklasa"
"424","Jakub Paszkowski","Defensive Midfield","Sep 16, 2006","16","Poland",NA,NA," ","Jul 29, 2022","Wigry Suwalki II","-","€25k","Ekstraklasa"
"425","Jan Grzesik","Right Midfield","Oct 21, 1994","28","Poland",NA,178,"right","Aug 24, 2020","LKS Lodz","Jun 30, 2023","€700k","Ekstraklasa"
"426","Konrad Matuszewski","Left Midfield","Oct 4, 2001","21","Poland",NA,182,"left","Jul 15, 2021","Legia Warsaw II","Jun 30, 2024","€550k","Ekstraklasa"
"427","Jakub Kielb","Left Midfield","Jul 15, 1993","29","Poland",NA,176,"left","Jul 29, 2016","Jarota Jarocin","Jun 30, 2023","€300k","Ekstraklasa"
"428","Miguel Luís","Attacking Midfield","Feb 27, 1999","23","Portugal",NA,178,"right","Jul 27, 2022","Rakow Czestochowa","Jun 30, 2025","€600k","Ekstraklasa"
"429","Kajetan Szmyt","Attacking Midfield","May 29, 2002","20","Poland",NA,171," ","Mar 12, 2019","Warta Poznan Youth","Dec 31, 2023","€500k","Ekstraklasa"
"430","Niilo Mäenpää","Attacking Midfield","Jan 14, 1998","24","Finland",NA,180,"right","Jan 1, 2022","IFK Mariehamn","Jun 30, 2024","€400k","Ekstraklasa"
"431","Milosz Szczepanski","Attacking Midfield","Mar 22, 1998","24","Poland",NA,168,"right","Jan 20, 2022","Lechia Gdansk","Jun 30, 2023","€250k","Ekstraklasa"
"432","Michal Jakobowski","Attacking Midfield","Sep 8, 1992","30","Poland",NA,170,"both","Jan 7, 2019","Bytovia Bytow","Jun 30, 2023","€100k","Ekstraklasa"
"433","Enis Destan","Centre-Forward","Jun 15, 2002","20","Turkey",NA,185,"right","Aug 5, 2022","Trabzonspor","Jun 30, 2023","€900k","Ekstraklasa"
"434","Adam Zrelak","Centre-Forward","May 5, 1994","28","Slovakia",NA,183,"left","Feb 11, 2021","1.FC Nuremberg","Jun 30, 2025","€800k","Ekstraklasa"
"435","Szymon Sarbinowski","Centre-Forward","Mar 24, 2004","18","Poland",NA,170," ","Jul 14, 2022","Warta Poznan U19","-","€25k","Ekstraklasa"
"436","Bartosz Mrozek","Goalkeeper","Feb 23, 2000","22","Poland",NA,191,"right","May 12, 2022","Lech Poznan","Jun 30, 2023","€600k","Ekstraklasa"
"437","Mateusz Kochalski","Goalkeeper","Jul 25, 2000","22","Poland",NA,190," ","Jul 1, 2022","Legia Warszawa","Jun 30, 2025","€200k","Ekstraklasa"
"438","Mateusz Dudek","Goalkeeper","Dec 14, 2002","20","Poland",NA,186,"right","Jul 19, 2019","Stal Mielec II","Jun 30, 2024","€25k","Ekstraklasa"
"439","Kamil Kruk","Centre-Back","Mar 13, 2000","22","Poland",NA,185," ","Jul 3, 2022","Zaglebie Lubin","Jun 30, 2023","€600k","Ekstraklasa"
"440","Marcin Flis","Centre-Back","Feb 10, 1994","28","Poland",NA,185,"left","Aug 18, 2020","Sandecja Nowy Sacz","Jun 30, 2023","€500k","Ekstraklasa"
"441","Mateusz Matras","Centre-Back","Jan 23, 1991","31","Poland",NA,193,"right","Aug 20, 2020","Górnik Zabrze","Jun 30, 2023","€500k","Ekstraklasa"
"442","Arkadiusz Kasperkiewicz","Centre-Back","Sep 29, 1994","28","Poland",NA,187,"right","Jan 14, 2022","Arka Gdynia","Jun 30, 2023","€500k","Ekstraklasa"
"443","Dominykas Barauskas","Centre-Back","Apr 18, 1997","25","Lithuania",NA,188,"left","Jul 1, 2022","FK Riteriai","Jun 30, 2023","€300k","Ekstraklasa"
"444","Leandro","Centre-Back","Dec 29, 1983","39","Brazil","Poland",183,"left","Jul 1, 2022","Gornik Leczna","Jun 30, 2023","€25k","Ekstraklasa"
"445","Piotr Wlazlo","Defensive Midfield","Jun 3, 1989","33","Poland",NA,184,"right","Jul 1, 2022","Bruk-Bet Termalica Nieciecza","Jun 30, 2024","€300k","Ekstraklasa"
"446","Fryderyk Gerbowski","Central Midfield","Jan 17, 2003","19","Poland",NA,181," ","Aug 3, 2022","Wisla Plock","Jun 30, 2023","€600k","Ekstraklasa"
"447","Pawel Zyra","Central Midfield","Apr 7, 1998","24","Poland",NA,178,"both","Jul 1, 2022","Bruk-Bet Termalica Nieciecza","Jun 30, 2024","€250k","Ekstraklasa"
"448","Konrad Guca","Central Midfield","Aug 18, 2003","19","Poland",NA,NA," ","Sep 21, 2021","Stal Mielec II","-","€25k","Ekstraklasa"
"449","Michael Wyparlo","Central Midfield","Sep 25, 2003","19","Poland","United States",190,"right","Jan 27, 2021","Stal Mielec II","Jun 30, 2023","€25k","Ekstraklasa"
"450","Adrian Sobon","Central Midfield","Dec 20, 2002","20","Poland",NA,170," ","Jul 26, 2022","Stal Mielec II","Jun 30, 2023","€25k","Ekstraklasa"
"451","Maciej Wolski","Right Midfield","Mar 29, 1997","25","Poland",NA,176,"right","Jul 1, 2022","LKS Lodz","Jun 30, 2024","€350k","Ekstraklasa"
"452","Fabian Hiszpanski","Right Midfield","Oct 26, 1993","29","Poland",NA,172,"both","Jul 5, 2022","Arka Gdynia","Jun 30, 2023","€300k","Ekstraklasa"
"453","Krystian Kardys","Right Midfield","Aug 3, 2002","20","Poland",NA,179,"right","Jul 11, 2022","Stal Mielec II","Jun 30, 2024","€50k","Ekstraklasa"
"454","Krystian Getinger","Left Midfield","Aug 29, 1988","34","Poland",NA,188,"left","Jul 11, 2013",": Ablöse free transfer","Jun 30, 2023","€300k","Ekstraklasa"
"455","Maciej Domanski","Attacking Midfield","Sep 5, 1990","32","Poland",NA,167,"right","Jan 29, 2020","Rakow Czestochowa","Jun 30, 2023","€400k","Ekstraklasa"
"456","Mateusz Mak","Attacking Midfield","Nov 14, 1991","31","Poland",NA,178,"right","Jul 30, 2019","Piast Gliwice","Jun 30, 2023","€250k","Ekstraklasa"
"457","Bartlomiej Ciepiela","Attacking Midfield","May 24, 2001","21","Poland",NA,182," ","Jul 1, 2022","Legia Warszawa","Jun 30, 2023","€100k","Ekstraklasa"
"458","Saïd Hamulic","Centre-Forward","Nov 12, 2000","22","Netherlands","Bosnia-Herzegovina",188,"right","Jul 12, 2022","DFK Dainava Alytus","Jun 30, 2024","€1.50m","Ekstraklasa"
"459","Mikolaj Lebedynski","Centre-Forward","Oct 14, 1990","32","Poland",NA,185,"right","Jul 1, 2022","Chrobry Glogow","Jun 30, 2024","€150k","Ekstraklasa"
"460","Kamil Duszkiewicz","Centre-Forward","Mar 5, 2002","20","Poland",NA,187,"right","Jul 15, 2021","Stal Mielec II","Jun 30, 2023","€25k","Ekstraklasa"
"461","Milosz Zurawski","Midfield","Apr 17, 2006","16","Poland",NA,NA," ","May 20, 2022","Radomiak Radom U19","-","€25k","Ekstraklasa"
"462","Jozef Kolasa","Midfield","Aug 29, 2004","18","Poland",NA,NA," ","Aug 29, 2022","Radomiak Radom II","-","€25k","Ekstraklasa"
"463","Gabriel Kobylak","Goalkeeper","Feb 20, 2002","20","Poland",NA,193,"both","Jul 1, 2022","Legia Warsaw II","-","€500k","Ekstraklasa"
"464","Jakub Ojrzynski","Goalkeeper","Feb 19, 2003","19","Poland",NA,196,"right","Jul 1, 2022","Liverpool FC U21","Jun 30, 2023","€50k","Ekstraklasa"
"465","Albert Posiadała","Goalkeeper","Feb 25, 2003","19","Poland","Guinea-Bissau",193," ","Mar 2, 2022","Swit Nowy Dwor Mazowiecki","Jun 30, 2024","-","Ekstraklasa"
"466","Pedro Justiniano","Centre-Back","Apr 18, 2000","22","Portugal","Brazil",190,"right","Jul 10, 2022","Académica Coimbra","Jun 30, 2025","€500k","Ekstraklasa"
"467","Raphael Rossi","Centre-Back","Jul 25, 1990","32","Italy",NA,190,"right","Jul 24, 2021","FC Sion","Jun 30, 2024","€450k","Ekstraklasa"
"468","Mateusz Cichocki","Centre-Back","Jan 31, 1992","30","Poland",NA,187,"right","Jul 1, 2019","Zaglebie Sosnowiec","Dec 31, 2024","€400k","Ekstraklasa"
"469","Dawid Abramowicz","Left-Back","May 16, 1991","31","Poland",NA,186,"left","Jan 29, 2021","Wisla Kraków","Jun 30, 2025","€600k","Ekstraklasa"
"470","Aleksander Gajgier","Left-Back","Aug 11, 2003","19","Poland",NA,193,"left","Jul 1, 2022","MKS Polonia Warsaw U19","Jun 30, 2024","€25k","Ekstraklasa"
"471","Dariusz Pawlowski","Right-Back","Feb 25, 1999","23","Poland",NA,184,"right","Jul 1, 2022","Górnik Zabrze","Jun 30, 2025","€250k","Ekstraklasa"
"472","Damian Jakubik","Right-Back","Mar 25, 1990","32","Poland",NA,183,"right","Jul 4, 2017","Znicz Pruszkow","Jun 30, 2023","€150k","Ekstraklasa"
"473","Luizão","Defensive Midfield","Feb 20, 1998","24","Brazil",NA,184,"right","Feb 18, 2022","Vorskla Poltava","Jun 30, 2025","€250k","Ekstraklasa"
"474","Tiago Matos","Defensive Midfield","Jan 22, 2001","21","Portugal",NA,178,"right","Aug 31, 2021","FC Porto B","Jun 30, 2024","€150k","Ekstraklasa"
"475","Daniel Lukasik","Defensive Midfield","Apr 28, 1991","31","Poland","Poland",180,"right","Feb 11, 2022","MKE Ankaragücü","Jun 30, 2023","€150k","Ekstraklasa"
"476","Nikolas Korzeniecki","Defensive Midfield","Sep 26, 2001","21","Canada",NA,186," ","Aug 26, 2022","Zaglebie Sosnowiec","-","€50k","Ekstraklasa"
"477","Filipe Nascimento","Central Midfield","Jan 7, 1995","28","Portugal",NA,175,"left","Feb 21, 2021","Without Club","Jun 30, 2023","€800k","Ekstraklasa"
"478","Thabo Cele","Central Midfield","Jan 15, 1997","25","South Africa",NA,178,"right","Oct 12, 2021","Without Club","Jun 30, 2023","€650k","Ekstraklasa"
"479","Jakub Nowakowski","Central Midfield","Oct 11, 2001","21","Poland",NA,176," ","Jul 1, 2018","Radomiak Radom U19","Jun 30, 2025","€100k","Ekstraklasa"
"480","Jakub Snopczynski","Central Midfield","Jul 5, 2005","17","Poland",NA,174," ","Nov 25, 2021","Radomiak Radom U19","Jun 30, 2023","€25k","Ekstraklasa"
"481","Roberto Alves","Attacking Midfield","Jun 8, 1997","25","Switzerland","Portugal",180,"left","Jul 1, 2022","FC Winterthur","Jun 30, 2025","€600k","Ekstraklasa"
"482","Berto Cayarga","Left Winger","Sep 17, 1996","26","Spain",NA,170,"right","Jan 3, 2023","Without Club","Jun 30, 2023","€400k","Ekstraklasa"
"483","Luís Machado","Left Winger","Nov 4, 1992","30","Portugal",NA,171,"right","Jul 1, 2021","NorthEast United FC","Jun 30, 2024","€400k","Ekstraklasa"
"484","Franciszek Wroblewski","Left Winger","Oct 10, 2000","22","Poland",NA,176,"right","Feb 19, 2022","Pogon Siedlce ","Jun 30, 2023","€25k","Ekstraklasa"
"485","Lisandro Semedo","Right Winger","Mar 12, 1996","26","Cape Verde","Portugal",175,"right","Jul 9, 2022","Fortuna Sittard","Jun 30, 2024","€350k","Ekstraklasa"
"486","Leândro","Right Winger","Nov 26, 1988","34","Brazil","Poland",175,"left","Jul 16, 2012","Zawisza Rzgow","Dec 31, 2024","€150k","Ekstraklasa"
"487","Daniel Pik","Right Winger","Jul 20, 2000","22","Poland",NA,177,"right","Jul 1, 2022","Cracovia","Jun 30, 2024","€150k","Ekstraklasa"
"488","Michal Feliks","Centre-Forward","Mar 19, 1999","23","Poland",NA,186,"right","Jul 1, 2022","Garbarnia Krakow","Jun 30, 2025","€200k","Ekstraklasa"
"489","Dominik Sokol","Centre-Forward","May 16, 1999","23","Poland",NA,185,"right","Jan 1, 2017","Bron Radom","Jun 30, 2023","€100k","Ekstraklasa"
"490","Jean Franco Sarmiento","Centre-Forward","Feb 7, 1997","25","Colombia",NA,182," ","Jan 3, 2023","Pogon Grodzisk Mazowiecki","-","€25k","Ekstraklasa"
"491","Kacper Chmielewski","Attack","Oct 16, 2004","18","Poland",NA,181," ","May 19, 2022","Miedz Legnica II","-","€25k","Ekstraklasa"
"492","Kacper Klimkiewicz","Midfield","Jul 28, 2005","17","Poland",NA,NA," ","May 19, 2022","Miedz Legnica II","Jun 30, 2025","€25k","Ekstraklasa"
